ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
189,simple,S003,7 inch Raspberry Pi/Linux/Win LCD Touch Screen Display with usb touch controller,1,0,visible,800x480 raspberry pi touch screen HDMI display with usb touch controller.,"<div></div>
<div>The power supply to the HDMI/VGA driver board can be anywhere between 5 -12v. It has an onboard regulator that can handle that range.</div>
<div>
<div></div>
<div><span style=""font-family: arial, helvetica, sans-serif;"">Device driver for Linux is the mainline kernel. So CD won't have them. Stock ubuntu and rasbian have them enabled already in their kernel config.ÿ</span></div>
<div><span style=""font-family: arial, helvetica, sans-serif;"">For any other linux device you will have to check if you don't get touch events, you will have to compile kernel for that board which is not very hard. Just select the touchscreen drivers while you do make menuconfig.ÿ</span></div>
<div><span style=""font-family: arial, helvetica, sans-serif;"">Even though the driver is inbuilt into linux kernel, you will still need to calibrate the touch screen. Here is a tutorial for achieving that</span></div>
<div><span style=""font-family: arial, helvetica, sans-serif;"">https://www.thefanclub.co.za/how-to/how-ubuntu-1204-touchscreen-calibration</span></div>
<div><span style=""font-family: arial, helvetica, sans-serif;"">ÿ</span></div>
<div><span style=""font-family: arial, helvetica, sans-serif;"">This works on windows also upto windows 8. Please note that their are no drivers available for windows 10.</span></div>
</div>
<div></div>
<div>

Display in action

[embed]https://www.youtube.com/embed/6hn5WqjE_2w[/embed]

</div>
<div>
<div>
<div></div>
<div>
<div><strong><span style=""font-family: arial, helvetica, sans-serif;"">Package includes:</span></strong></div>
<div><span style=""font-family: arial, helvetica, sans-serif;"">1x touch enabled screen</span></div>
<div><span style=""font-family: arial, helvetica, sans-serif;"">1x usb touch controller resistive</span></div>
<div><span style=""font-family: arial, helvetica, sans-serif;"">1x remote kit</span></div>
<div><span style=""font-family: arial, helvetica, sans-serif;"">1x USB power supply for the LCD driver board</span></div>
<div><span style=""font-family: arial, helvetica, sans-serif;"">1x LCD driver board</span></div>
</div>
</div>
</div>",,,taxable,,1,1,,0,0,0.5,20,15,10,1,,,3631,Raspberry Pi,"display, hdmi, lcd, raspberry pi, touch screen",,http://store.hoverbirds.in/wp-content/uploads/sites/2/2016/12/7inch_touch_480p.jpg,,,,,,,,,0
194,simple,C010,Straight Rod Antenna SW433-ZB165 433MHz Rubber Antenna,1,0,visible,High Performance Straight Rod Antennas SW433-ZB165 433MHz Rubber Antenna,"<div class=""box"">

<span style=""font-size: large;""><b>Description :-</b></span>
<ul>
 	<li>Frequency range:433 MHz (+ / -10)</li>
 	<li>VSWR: &lt;= 1.5</li>
 	<li>Input impedance: 50 ê</li>
 	<li>Maximum power: 10 W</li>
 	<li>Gain: 3.0 dBi</li>
 	<li>Polarization: vertical polarization</li>
 	<li>Height:160 mm</li>
 	<li>Lead wire: no</li>
 	<li>Interface form: SMA</li>
</ul>
</div>
<div class=""box"">

<b><span style=""font-size: medium;"">Package Contents :-</span></b>
<ul>
 	<li>ÿ1 x High Performance Straight Rod Antennas SW433-ZB165 433MHz Rubber Antenna</li>
</ul>
&nbsp;

</div>",,,taxable,,0,,,0,0,,,,,1,,,161,Radio System,"433Mhz, Antenna, communications, Drones, FPV, radio, RC, UAV",,"http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/04/antenna1.jpg, http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/04/antenna1.jpg, http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/04/antenna2.jpg",,,,,,,,,0
199,simple,D041,UNO Proto Shield Prototype Expansion Board with SYB-170 mini Breadboard Based,1,0,visible,UNO Proto Shield prototype expansion board with SYB-170 mini breadboard based,"<div class=""box""><span style=""font-size: large;""><b>Description :-</b>
</span>
<ul>
 	<li>ProtoShield Extension Board</li>
 	<li>Contain Mini Bread board</li>
 	<li>Bread Board Adhesive To PCB with double-sided tape</li>
 	<li>ProtoShield prototype extension board and two buttons with two LED circuits can be used directly</li>
 	<li>The item is as the picture described. It is completely compatible with Arduino Uno R2. It can also use on Arduino Uno R3 devel opment board , but 2x2 headers can't be used</li>
</ul>
<strong><span style=""font-size: large;"">Highlights :-</span></strong><span style=""font-family: Arial, Helvetica, sans-serif; font-size: medium;"">
</span>
<ul>
 	<li>Used in conjunction with the Duemilanove ProtoShield prototype expansion board.</li>
 	<li>With Self-adhesive tape on the back of miniboard, easy to stick on the Arduino Prototype Shield.</li>
 	<li>Circuit used for building prototype can be directly soldered on the board.You can also connect the above mini breadboard circuit.Bread board and circuit board via double-sided adhesive connections,soldered breadboard and the circuit board are separated.</li>
 	<li>Proto Shield prototype expansion board comes with two buttons and two LED circuit can be used directly,all of the pins and the power leads are well fitted and users can build circuit prototype with Arduino.</li>
 	<li>Prototype Size:7cm x 5.5cm x 2cm</li>
 	<li>Mini breadboard size: 4.4 x3.4 x1cm</li>
</ul>
</div>
<div class=""box"">

<strong><span style=""font-size: medium;""><span style=""font-size: large;"">Package Contents :-</span></span></strong>
<ul>
 	<li><span style=""font-family: Arial, Helvetica, sans-serif;"">1 x ÿUNO Proto Shield prototype expansion board with SYB-170 mini breadboard based .
</span></li>
</ul>
</div>",,,taxable,,1,2,,0,0,0.2,7,5.5,0.1,1,,,234,Aurdino,"expansion board, Proto Shield",,"http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/04/1.jpg, http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/04/1.jpg, http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/04/2.jpg, http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/04/4.jpg, http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/04/5.jpg",,,,,,,,,0
206,simple,C015,Firmware Upgrade Data Cable For Flysky FS-T6 FS-I6 FS-CT6B,1,0,visible,"<h2 id=""subTitle"" class=""it-sttl"">Best Quality, Price &amp; Support support@hoverbirds.in</h2>","<strong>Package Contents :-</strong>

1Pcs Firmware Upgrade Data Cable For Flysky FS-T6 FS-I6 FS-CT6B",,,taxable,,1,4,,0,0,0.02,10,0.05,0,1,,,392,Radio System,"Drones, FPV, radio, RC, UAV",,"http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/05/1.jpg, http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/05/data.jpg, http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/05/1.jpg",,,,,,,,,0
212,simple,C014,FlySky FS-R6B 2.4GHZ 6Channel AFHDS Receiver for T4B/T6B/TH9Ba,1,0,visible,"<h2 id=""subTitle"" class=""it-sttl"">Best Quality, Price &amp; Support support@hoverbirds.in</h2>","<div>
<div class=""box"">

<span style=""font-size: large;"">Package Contents :-</span>
<ul>
 	<li><span style=""font-size: medium;"">1 Pcs FlySky FS-R6B 2.4GHZ 6Channel AFHDS Receiver for T4B/T6B/TH9Ba</span></li>
</ul>
<div style=""text-align: right;""></div>
</div>
</div>
<div class=""box""></div>",,,taxable,,0,,,0,0,0.02,4.5,3.5,1.5,1,,,893,Radio System,"Drones, FPV, radio, RC, UAV",,"http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/05/6CH2-1.jpg, http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/05/6CH2.jpg, http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/05/6CH3.jpg",,,,,,,,,0
217,simple,C001,RC Helicopter Airplane Remote control Flysky FS-i4 2.4G 4CH Radio,1,0,visible,"<div class="""">
<h2 id=""subTitle"" class=""it-sttl"">Transmitter &amp; Receiver support@hoverbirds.in</h2>
</div>","<div>
<div class=""box"">

<span style=""font-size: large;"">Description :-</span>
<ul>
 	<li><span style=""font-size: medium;"">ÿChannels: 4 Channels</span></li>
 	<li><span style=""font-size: medium;"">ÿModel Type: Glider/Heli/Airplaneÿ</span></li>
 	<li><span style=""font-size: medium;"">ÿRF Range: 2.40-2.48GHz</span></li>
 	<li><span style=""font-size: medium;"">ÿBandwidth: 500KHz</span></li>
 	<li><span style=""font-size: medium;"">ÿBand: 142</span></li>
 	<li><span style=""font-size: medium;"">ÿRF Power: Less Than 20dBm</span></li>
 	<li><span style=""font-size: medium;"">ÿ2.4ghz System: AFHDS 2A and AFHDS</span></li>
 	<li><span style=""font-size: medium;"">ÿCode Type: GFSK</span></li>
 	<li><span style=""font-size: medium;"">ÿSensitivity: 1024</span></li>
 	<li><span style=""font-size: medium;"">ÿLow Voltage Warning: less than 4.2V</span></li>
 	<li><span style=""font-size: medium;"">ÿDSC Port: PS2;Output:PPM</span></li>
 	<li><span style=""font-size: medium;"">ÿANT length: 26mm*2(dual antenna)</span></li>
 	<li><span style=""font-size: medium;"">ÿWeight:335g</span></li>
 	<li><span style=""font-size: medium;"">ÿPower: 6V 1.5AA*4</span></li>
 	<li><span style=""font-size: medium;"">ÿSize: 174x89x190mm</span></li>
 	<li><span style=""font-size: medium;"">ÿColor: Black</span></li>
</ul>
</div>
<div class=""box"">

<span style=""font-size: large;"">Package Contents :-</span>
<ul>
 	<li><span style=""font-size: medium;"">ÿ1 x FS 2.4G 4ch transmitter</span></li>
 	<li><span style=""font-size: medium;"">ÿ1 x FS ÿ4ch receiver</span></li>
</ul>
<div style=""text-align: right;""></div>
</div>
<div class=""box""></div>
</div>
<div class=""box""></div>",,,taxable,,0,,,0,0,0.3,17.4,8.9,19,1,,,3660,Radio System,"Drones, FPV, radio, RC, UAV",,"http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/05/2-2.jpg, http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/05/2-2.jpg, http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/05/3-1.jpg, http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/05/4.jpg",,,,,,,,,0
226,simple,C004A,FlySky RC 8Ch 2.4G FS-R8B Receiver for TH9X transmiter,1,0,visible,"<h2 id=""subTitle"" class=""it-sttl"">Best in Quality, Price &amp; Support support@hoverbirds.in</h2>","<div>
<div class=""box"">
<div class=""box"">
<div>
<div class=""box"">

<span style=""font-size: large;"">Package Contents :-</span>
<ul>
<ul>
 	<li><span style=""font-size: medium;"">1 Pcs FlySky RC 8Ch 2.4G FS-R8B receiver for TH9X transmiter</span></li>
</ul>
</ul>
<div style=""text-align: right;""></div>
</div>
</div>
<div class=""box""></div>
<div class=""box""></div>
</div>
</div>
</div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>
<div class=""box""></div>",,,taxable,,0,,,0,0,,,,,1,,,1393,Radio System,"Drones, FPV, radio, RC, UAV",,"http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/05/3-2.jpg, http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/05/5.jpg, http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/05/4-2.jpg, http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/05/3-2.jpg",,,,,,,,,0
232,simple,C004B,Flysky 2.4G 10CH FS-iA10B Receiver PPM Output With iBus Port Compatible,1,0,visible,"<h2 id=""subTitle"" class=""it-sttl"">Best in Quality, Price &amp; Support support@hoverbirds.in</h2>","<div>
<div class=""box"">

<strong><span style=""font-size: large;""><span style=""font-size: medium;"">Discrepction :-</span></span></strong>
<ul>
 	<li>ÿBrand Name: Flysky</li>
 	<li>ÿItem Name: FS-iA10B</li>
 	<li>ÿChannel: 10</li>
 	<li>ÿ2.4G Mode: The second generation of an enhanced version of the automatic FM digital system</li>
 	<li>ÿAntenna Length: 26mm * 2 (dual antenna)</li>
 	<li>ÿInput Power: 4.0-6.5V DC</li>
 	<li>ÿWeight: 19.3g</li>
 	<li>ÿSize: 51mm*34mm*15mm</li>
 	<li>ÿColor: Black</li>
 	<li>ÿi-Bus Interface: Yes</li>
 	<li>ÿData Acquisition Interface: Yes</li>
 	<li>ÿModel Type: Airplane / Glider / Helicopter</li>
 	<li>ÿCompatible Transmitter: Compatible with FS-i4, FS-i6,FS-i6S, FS-i10,FS-iT4S</li>
</ul>
</div>
<div class=""box""><span style=""font-size: large;""><strong>Package Contents :-</strong>
</span>
<ul>
 	<li>1 x Flysky 2.4G 10CH FS-iA10B Receiver PPM Output With iBus Port Compatible</li>
</ul>
</div>
</div>
<div class=""box"">

&nbsp;

</div>
<div class=""box""></div>",,,taxable,,0,,,0,0,0.3,17.4,8.9,19,1,,,2496,Radio System,"Drones, FPV, radio, RC, UAV",,"http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/05/CropperCapture23.jpg, http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/05/CropperCapture23.jpg, http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/05/CropperCapture25.jpg, http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/05/CropperCapture26.jpg, http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/05/CropperCapture24.jpg, http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/05/CropperCapture27.jpg",,,,,,,,,0
238,simple,C011,Flysky-I6S 10CH 2.4G RC Quadcopter Transmitter Controller,1,0,visible,"<div class="""">
<h2 id=""subTitle"" class=""it-sttl"">Best Quality, Price &amp; Support support@hoverbirds.in</h2>
</div>","<div>
<div class=""box"">
<div>
<div class=""box"">

<b><span style=""font-size: large;"">Package Contents :-</span></b>
<ul>
 	<li>1xFS-I6S Transmitter</li>
 	<li>1xData Cable</li>
 	<li>1xFS-IA10B Receiver</li>
 	<li>1x Phone Frame</li>
</ul>
</div>
</div>
<div class=""box""></div>
</div>
</div>",,,taxable,,0,0,,0,0,0.335,17.4,8.9,19,1,,,8250,Radio System,"Drones, FPV, radio, RC, UAV",,"http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/05/2-3.jpg, http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/05/2-3.jpg",,,,,,,,,0
239,simple,C009,4 Pcs SW433-TH32 433MHz Copper Spring Antenna for wireless RF module,1,0,visible,"<div class="""">
<h2 id=""subTitle"" class=""it-sttl"">Best Quality, Price &amp; Support support@hoverbirds.in</h2>
</div>","<div>
<div class=""box""><span style=""font-size: large;""><b>Description :-</b>
</span>
<ul>
 	<li>Frequency range:433MHz(+/-5)</li>
 	<li>VSWR:&lt;=1.5</li>
 	<li>Input impedance: 50ê</li>
 	<li>Maximum power:10W</li>
 	<li>Gain: 2.15dBi (real accurate gain, most finished products using such antenna design will claim a gain of 3-5dBi)</li>
 	<li>Weight: 2g</li>
 	<li>Height:32+/-1mm(23.5T)</li>
 	<li>Antenna color:copper color</li>
 	<li>Interface Type: welded directly</li>
</ul>
</div>
<div class=""box"">

<span style=""font-size: large;"">Package Contents :-</span>
<ul>
 	<li><span style=""font-size: medium;"">4pcs Copper spring antenna </span>.</li>
</ul>
<div></div>
</div>
</div>
<div class=""box""></div>
<div class=""box""></div>",,,taxable,,0,0,,0,0,0.005,1,0.05,0.1,1,,,163,Radio System,"Drones, FPV, radio, RC, UAV",,"http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/05/CropperCapture28.jpg, http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/05/CropperCapture28.jpg, http://store.hoverbirds.in/wp-content/uploads/sites/2/2017/05/CropperCapture29.jpg",,,,,,,,,0
